freq	dB(S(2,1))
1.33099999999999996E9	-1.89995306565716859E1
1.34099999999999997E9	-1.77701494367150969E1
1.35099999999999998E9	-1.65095532538977752E1
1.36099999999999999E9	-1.52165191444037617E1
1.37100000000000000E9	-1.38904459225506161E1
1.38099999999999978E9	-1.25318542175100034E1
1.39100000000000001E9	-1.11431862479583499E1
1.40100000000000002E9	-9.73004971628547644E0
1.41100000000000003E9	-8.30306410346230983E0
1.42099999999999982E9	-6.88037659448888750E0
1.43099999999999983E9	-5.49053981401817559E0
1.44100000000000006E9	-4.17452494212709357E0
1.45100000000000007E9	-2.98418974109850410E0
1.46099999999999985E9	-1.97378663345045413E0
1.47099999999999986E9	-1.18407652240910077E0
1.48099999999999987E9	-6.26223296686382902E-1
1.49100000000000010E9	-2.77172527782955314E-1
1.50099999999999989E9	-9.04280056743427352E-2
1.51099999999999990E9	-1.34696818674494145E-2
1.52099999999999991E9	-8.59544254666800711E-4
1.53099999999999992E9	-1.94072500184740981E-2
1.54099999999999993E9	-4.77528403716282579E-2
1.55099999999999993E9	-7.37195511827044747E-2
1.56099999999999994E9	-9.14664081065697587E-2
1.57099999999999995E9	-9.91946705518289917E-2
1.58099999999999996E9	-9.75071550379362861E-2
1.59099999999999997E9	-8.82973199199408931E-2
1.60099999999999976E9	-7.40159246821174399E-2
1.61099999999999999E9	-5.71944441292265360E-2
1.62100000000000000E9	-4.01429592104250865E-2
1.63099999999999978E9	-2.47700793899227456E-2
1.64100000000000001E9	-1.24916620155987523E-2
1.65099999999999980E9	-4.20593034699379054E-3
1.66100000000000003E9	-3.17991085216364233E-4
1.67100000000000004E9	-7.99252184363201579E-4
1.68099999999999983E9	-5.26867512561454987E-3
1.69100000000000006E9	-1.30842502986944331E-2
1.70099999999999985E9	-2.34349972721203725E-2
1.71099999999999985E9	-3.54261356539481431E-2
1.72100000000000009E9	-4.81525733477503159E-2
1.73099999999999987E9	-6.07581924541646501E-2
1.74100000000000010E9	-7.24803303279647348E-2
1.75099999999999989E9	-8.26802335910695163E-2
1.76099999999999990E9	-9.08611058423861095E-2
1.77100000000000013E9	-9.66757573287604544E-2
1.78099999999999992E9	-9.99259171533531898E-2
1.79099999999999993E9	-1.00555108995769071E-1
1.80099999999999971E9	-9.86367249065677498E-2
1.81099999999999994E9	-9.43586366470963611E-2
1.82100000000000017E9	-8.80054111538652251E-2
1.83099999999999996E9	-7.99389737819073964E-2
1.84099999999999997E9	-7.05784002347297434E-2
1.85099999999999976E9	-6.03794134530154825E-2
1.86099999999999999E9	-4.98141052009842511E-2
1.87100000000000000E9	-3.93513790545517139E-2
1.88099999999999978E9	-2.94386053699149297E-2
1.89100000000000001E9	-2.04849731806574509E-2
1.90099999999999980E9	-1.28470044760132995E-2
1.91100000000000003E9	-6.81665228462277462E-3
1.92100000000000004E9	-2.61232970460376634E-3
1.93099999999999983E9	-3.73112383228798805E-4
1.94100000000000006E9	-1.56227391373405111E-4
1.95099999999999985E9	-1.93779698824099422E-3
1.96099999999999985E9	-5.61665937528461434E-3
1.97100000000000009E9	-1.10209539093290765E-2
1.98099999999999987E9	-1.79170476604510776E-2
1.99100000000000010E9	-2.60203026503650570E-2
2.00099999999999989E9	-3.50071431438547265E-2
2.01100000000000012E9	-4.45278797979354835E-2
2.02099999999999991E9	-5.42197778790421214E-2
2.03099999999999969E9	-6.37199126000223259E-2
2.04099999999999993E9	-7.26774266768508515E-2
2.05099999999999971E9	-8.07648839662249074E-2
2.06099999999999994E9	-8.76884899549505015E-2
2.07100000000000017E9	-9.31970181158460598E-2
2.08099999999999996E9	-9.70893360855184895E-2
2.09100000000000019E9	-9.92204648693352809E-2
2.10099999999999998E9	-9.95061275362690267E-2
2.11099999999999977E9	-9.79257526062182926E-2
2.12100000000000000E9	-9.45238944588627916E-2
2.13099999999999978E9	-8.94100226086556127E-2
2.14100000000000001E9	-8.27566184015426920E-2
2.15099999999999980E9	-7.47955069417543861E-2
2.16100000000000003E9	-6.58123494577730472E-2
2.17100000000000026E9	-5.61392323892504308E-2
2.18100000000000005E9	-4.61453192054468442E-2
2.19099999999999984E9	-3.62255831931020289E-2
2.20099999999999962E9	-2.67877161522301011E-2
2.21099999999999985E9	-1.82374084341170306E-2
2.22100000000000009E9	-1.09623160262647334E-2
2.23099999999999987E9	-5.31516267999803116E-3
