time	Vo
8.42199999999999172E-10	6.05569131121259741E-10
8.52199999999998958E-10	6.72009592955112289E-10
8.62199999999998923E-10	7.28248306295692505E-10
8.72199999999998710E-10	7.72444715742626276E-10
8.82199999999998852E-10	8.02941848147112935E-10
8.92199999999999172E-10	8.18314281070584748E-10
9.02199999999998781E-10	8.17412398816590979E-10
9.12199999999998745E-10	7.99401690353142413E-10
9.22199999999998710E-10	7.63795937027809657E-10
9.32199999999998852E-10	7.10483266265112690E-10
9.42199999999998816E-10	6.39744202655662342E-10
9.52199999999998781E-10	5.52261021408633468E-10
9.62199999999998568E-10	4.49117897315971959E-10
9.72199999999998710E-10	3.31791547765547445E-10
9.82199999999998674E-10	2.02132293895553072E-10
9.92199999999998639E-10	6.23357054896391816E-11
1.00219999999999843E-9	-8.50947593583910233E-11
1.01219999999999843E-9	-2.37393472669527394E-10
1.02219999999999844E-9	-3.91585847442087953E-10
1.03219999999999845E-9	-5.44547977640156056E-10
1.04219999999999846E-9	-6.93071469065488444E-10
1.05219999999999825E-9	-8.33932073155979658E-10
1.06219999999999803E-9	-9.63960613645985021E-10
1.07219999999999827E-9	-1.08011460377959567E-9
1.08219999999999827E-9	-1.17954889365190740E-9
1.09219999999999806E-9	-1.25968367043073926E-9
1.10219999999999785E-9	-1.31826816495519017E-9
1.11219999999999786E-9	-1.35343849620756140E-9
1.12219999999999787E-9	-1.36376820271284283E-9
1.13219999999999832E-9	-1.34831015790476405E-9
1.14219999999999788E-9	-1.30662874079914926E-9
1.15219999999999767E-9	-1.23882133497105462E-9
1.16219999999999790E-9	-1.14552845867605679E-9
1.17219999999999791E-9	-1.02793208339078479E-9
1.18219999999999792E-9	-8.87741969685306032E-10
1.19219999999999748E-9	-7.27170129825675637E-10
1.20219999999999749E-9	-5.48893807441609560E-10
1.21219999999999795E-9	-3.56007636888291401E-10
1.22219999999999795E-9	-1.51965899891662870E-10
1.23219999999999730E-9	5.94839704652865375E-11
1.24219999999999753E-9	2.74375279065981559E-10
1.25219999999999776E-9	4.88601806116916659E-10
1.26219999999999777E-9	6.98001689552816806E-10
1.27219999999999756E-9	8.98443629639085017E-10
1.28219999999999756E-9	1.08591351968266148E-9
1.29219999999999779E-9	1.25659958286977425E-9
1.30219999999999736E-9	1.40697411774055370E-9
1.31219999999999715E-9	1.53387001947198964E-9
1.32219999999999738E-9	1.63455034843479008E-9
1.33219999999999716E-9	1.70676935976326472E-9
1.34219999999999740E-9	1.74882358554611983E-9
1.35219999999999718E-9	1.75959177200427153E-9
1.36219999999999741E-9	1.73856271559348685E-9
1.37219999999999720E-9	1.68585031134351304E-9
1.38219999999999699E-9	1.60219541678514288E-9
1.39219999999999677E-9	1.48895443397337512E-9
1.40219999999999678E-9	1.34807480884855724E-9
1.41219999999999701E-9	1.18205793482246668E-9
1.42219999999999702E-9	9.93910224142452492E-10
1.43219999999999681E-9	7.87083374399727376E-10
1.44219999999999682E-9	5.65405102809894000E-10
1.45219999999999705E-9	3.33001839037154390E-10
1.46219999999999661E-9	9.42150505638779023E-11
1.47219999999999662E-9	-1.46486982257515308E-10
1.48219999999999708E-9	-3.84600024741528479E-10
1.49219999999999664E-9	-6.15675409597233081E-10
1.50219999999999665E-9	-8.35410243811855402E-10
1.51219999999999666E-9	-1.03973435815674753E-9
1.52219999999999689E-9	-1.22489213176907508E-9
1.53219999999999668E-9	-1.38751743771520997E-9
1.54219999999999624E-9	-1.52470010907215281E-9
1.55219999999999669E-9	-1.63404251920270660E-9
1.56219999999999670E-9	-1.71370509959629924E-9
1.57219999999999605E-9	-1.76243987442494987E-9
1.58219999999999694E-9	-1.77961136322654667E-9
1.59219999999999651E-9	-1.76520448523193974E-9
1.60219999999999629E-9	-1.71981938621921349E-9
1.61219999999999675E-9	-1.64465339644711595E-9
1.62219999999999631E-9	-1.54147061028828158E-9
1.63219999999999610E-9	-1.41255984894860420E-9
1.64219999999999611E-9	-1.26068202170306787E-9
1.65219999999999589E-9	-1.08900813174409872E-9
1.66219999999999590E-9	-9.01049371807919819E-10
1.67219999999999591E-9	-7.00580915165931017E-10
1.68219999999999614E-9	-4.91561126735452802E-10
1.69219999999999615E-9	-2.78047998583410205E-10
1.70219999999999572E-9	-6.41146558914494058E-11
