time	Vo_ideal
0.00000000000000000E0	0.00000000000000000E0
0.99999999999999978E-13	0.00000000000000000E0
1.99999999999999956E-13	0.00000000000000000E0
5.00000000000000355E-13	0.00000000000000000E0
1.40000000000000013E-12	0.00000000000000000E0
4.10000000000000053E-12	0.00000000000000000E0
1.22000000000000020E-11	0.00000000000000000E0
2.21999999999999975E-11	0.00000000000000000E0
3.22000000000000020E-11	0.00000000000000000E0
4.22000000000000064E-11	0.00000000000000000E0
5.21999999999999886E-11	0.00000000000000000E0
6.21999999999999975E-11	0.00000000000000000E0
7.22000000000000242E-11	0.00000000000000000E0
8.21999999999999886E-11	0.00000000000000000E0
9.21999999999999886E-11	0.00000000000000000E0
1.02200000000000024E-10	0.00000000000000000E0
1.12200000000000011E-10	0.00000000000000000E0
1.22200000000000064E-10	0.00000000000000000E0
1.32200000000000051E-10	0.00000000000000000E0
1.42199999999999993E-10	0.00000000000000000E0
1.52200000000000002E-10	0.00000000000000000E0
1.62199999999999900E-10	0.00000000000000000E0
1.72199999999999998E-10	0.00000000000000000E0
1.82199999999999918E-10	0.00000000000000000E0
1.92199999999999971E-10	0.00000000000000000E0
2.02199999999999935E-10	0.00000000000000000E0
2.12199999999999900E-10	0.00000000000000000E0
2.22199999999999909E-10	0.00000000000000000E0
2.32199999999999918E-10	0.00000000000000000E0
2.42199999999999882E-10	0.00000000000000000E0
2.52199999999999980E-10	0.00000000000000000E0
2.62199999999999900E-10	0.00000000000000000E0
2.72199999999999953E-10	0.00000000000000000E0
2.82200000000000006E-10	0.00000000000000000E0
2.92200000000000015E-10	0.00000000000000000E0
3.02200000000000069E-10	0.00000000000000000E0
3.12200000000000166E-10	0.00000000000000000E0
3.22199999999999998E-10	0.00000000000000000E0
3.32200000000000006E-10	0.00000000000000000E0
3.42200000000000060E-10	0.00000000000000000E0
3.52200000000000069E-10	0.00000000000000000E0
3.62200000000000077E-10	0.00000000000000000E0
3.72200000000000220E-10	0.00000000000000000E0
3.82200000000000051E-10	0.00000000000000000E0
3.92200000000000237E-10	0.00000000000000000E0
4.02200000000000202E-10	0.00000000000000000E0
4.12200000000000255E-10	0.00000000000000000E0
4.22200000000000220E-10	0.00000000000000000E0
4.32200000000000273E-10	0.00000000000000000E0
4.42200000000000237E-10	0.00000000000000000E0
4.52200000000000291E-10	0.00000000000000000E0
4.62200000000000255E-10	0.00000000000000000E0
4.72200000000000308E-10	0.00000000000000000E0
4.82200000000000273E-10	0.00000000000000000E0
4.92200000000000149E-10	0.00000000000000000E0
5.02200000000000202E-10	0.00000000000000000E0
5.12200000000000166E-10	0.00000000000000000E0
5.22200000000000308E-10	0.00000000000000000E0
5.32200000000000006E-10	0.00000000000000000E0
5.42200000000000060E-10	0.00000000000000000E0
5.52200000000000024E-10	0.00000000000000000E0
5.62199999999999989E-10	0.00000000000000000E0
5.72200000000000042E-10	0.00000000000000000E0
5.82199999999999918E-10	0.00000000000000000E0
5.92199999999999882E-10	0.00000000000000000E0
6.02199999999999847E-10	0.00000000000000000E0
6.12199999999999811E-10	0.00000000000000000E0
6.22199999999999864E-10	0.00000000000000000E0
6.32199999999999562E-10	0.00000000000000000E0
6.42199999999999882E-10	0.00000000000000000E0
6.52199999999999580E-10	0.00000000000000000E0
6.62199999999999633E-10	0.00000000000000000E0
6.72199999999999687E-10	0.00000000000000000E0
6.82199999999999562E-10	0.00000000000000000E0
6.92199999999999527E-10	0.00000000000000000E0
7.02199999999999491E-10	0.00000000000000000E0
7.12199999999999633E-10	0.00000000000000000E0
7.22199999999999420E-10	0.00000000000000000E0
7.32199999999999385E-10	0.00000000000000000E0
7.42199999999999438E-10	0.00000000000000000E0
