time	Vo_no_amp
1.42219999999999702E-9	1.78200766853700876E-12
1.43219999999999681E-9	4.44361685461788714E-11
1.44219999999999682E-9	8.65923069677638679E-11
1.45219999999999705E-9	1.27439405133339312E-10
1.46219999999999661E-9	1.66187870488727873E-10
1.47219999999999662E-9	2.02086014503868006E-10
1.48219999999999708E-9	2.34435808423245051E-10
1.49219999999999664E-9	2.62607568002501424E-10
1.50219999999999665E-9	2.86053236760118068E-10
1.51219999999999666E-9	3.04317963566588867E-10
1.52219999999999689E-9	3.17049709783301426E-10
1.53219999999999668E-9	3.24006670997668111E-10
1.54219999999999624E-9	3.25062350865236738E-10
1.55219999999999669E-9	3.20208174856014605E-10
1.56219999999999670E-9	3.09553581996250049E-10
1.57219999999999605E-9	2.93323587300722988E-10
1.58219999999999694E-9	2.71853866169470271E-10
1.59219999999999651E-9	2.45583469725219761E-10
1.60219999999999629E-9	2.15045333406375772E-10
1.61219999999999675E-9	1.80854790845737590E-10
1.62219999999999631E-9	1.43696352154529761E-10
1.63219999999999610E-9	1.04309047080695549E-10
1.64219999999999611E-9	6.34706642157739864E-11
1.65219999999999589E-9	2.19812368933415891E-11
1.66219999999999590E-9	-1.93538606856560591E-11
1.67219999999999591E-9	-5.97408335546050395E-11
1.68219999999999614E-9	-9.84140241654905523E-11
1.69219999999999615E-9	-1.34651737291085793E-10
1.70219999999999572E-9	-1.67790980632451348E-10
1.71219999999999661E-9	-1.97240800156251561E-10
1.72219999999999618E-9	-2.22493924015071620E-10
1.73219999999999597E-9	-2.43136467831430059E-10
1.74219999999999553E-9	-2.58855499257884647E-10
1.75219999999999598E-9	-2.69444310791707053E-10
1.76219999999999577E-9	-2.74805303115619237E-10
1.77219999999999600E-9	-2.74950434103261898E-10
1.78219999999999601E-9	-2.69999242567279119E-10
1.79219999999999602E-9	-2.60174513148288655E-10
1.80219999999999581E-9	-2.45795707226760873E-10
1.81219999999999581E-9	-2.27270338047849840E-10
1.82219999999999605E-9	-2.05083512068859486E-10
1.83219999999999539E-9	-1.79785894496082710E-10
1.84219999999999517E-9	-1.51980389216275880E-10
1.85219999999999541E-9	-1.22307852397617345E-10
1.86219999999999497E-9	-9.14321810335932916E-11
1.87219999999999587E-9	-6.00251292343519705E-11
1.88219999999999565E-9	-2.87512068669391097E-11
1.89219999999999611E-9	1.74699031309570563E-12
1.90219999999999656E-9	3.08626826926179865E-11
