time	Vo_sch_ideal
0.00000000000000000E0	-1.71285765143189139E-24
0.99999999999999978E-13	1.43706831633752730E-8
1.99999999999999956E-13	1.43161942187069013E-8
5.00000000000000355E-13	1.38731246728477631E-8
1.40000000000000013E-12	1.29431599274627063E-8
4.10000000000000053E-12	1.09949660927140691E-8
7.67706716897137298E-12	1.13064287363136362E-8
1.21021203975055491E-11	1.49523633003005085E-8
1.88231142835010568E-11	2.33489825412700602E-8
2.77170738145911821E-11	3.27065791612294809E-8
3.77170738145911866E-11	4.13334664477291902E-8
4.77170738145911777E-11	5.49160172608072017E-8
5.77170738145911688E-11	7.93949347766966973E-8
6.53441075953800965E-11	1.08933128477505736E-7
7.26081786881558422E-11	1.45226948031757086E-7
8.26081786881558600E-11	2.16072008359592527E-7
9.26081786881558600E-11	3.32932001442633352E-7
1.02608178688155882E-10	5.31604273625947510E-7
1.12608178688155847E-10	9.39290364496463859E-7
1.22608178688155922E-10	1.93865600058732768E-6
1.32608178688155842E-10	5.30412072485676678E-6
1.42608178688155851E-10	1.90503083501427684E-5
1.52608178688155882E-10	8.66525026912238694E-5
1.62608178688155824E-10	4.68546609629365385E-4
1.72608178688155833E-10	2.60773608582343330E-3
1.82608178688155820E-10	1.09004246403939464E-2
1.92608178688155762E-10	2.79848493329430026E-2
2.02608178688155860E-10	5.08669773932852998E-2
2.12608178688155824E-10	7.61512238332866076E-2
2.22608178688155789E-10	1.00855131337006787E-1
2.32608178688155798E-10	1.22686168293919740E-1
2.42608178688155718E-10	1.40248615966679147E-1
2.52608178688155771E-10	1.52435638560991515E-1
2.62608178688155913E-10	1.57990394689094482E-1
2.72608178688155789E-10	1.55867139392179022E-1
2.82608178688155798E-10	1.45703977614044566E-1
2.92608178688155984E-10	1.28277865139160019E-1
3.02608178688155816E-10	1.05816355506403781E-1
3.12608178688155824E-10	8.00338196197453122E-2
3.22608178688155967E-10	5.11542313888058597E-2
3.32608178688155931E-10	2.23672272606733902E-2
3.42608178688155984E-10	3.96254711948754501E-3
3.43233178688155949E-10	3.41165147604572461E-3
3.45108178688156020E-10	2.14313229624705182E-3
3.46750325050605301E-10	1.43690005780023178E-3
3.48649361103096567E-10	9.66589402442547296E-4
3.51258281331576816E-10	6.81027179049325060E-4
3.56821324545745666E-10	7.20752525963270330E-4
3.66821324545745675E-10	2.42280530575978137E-3
3.73412928003580324E-10	4.11675462771025558E-3
3.79843320554124331E-10	4.06084076637275970E-3
3.87099859366274890E-10	3.08857904367468095E-3
3.95035423985748979E-10	2.57951819030928853E-3
4.03454876181015898E-10	2.59187151954985318E-3
4.03493938681016040E-10	2.59365727764953036E-3
4.03611126181015933E-10	2.59845281193023903E-3
4.03962688681015969E-10	2.61240588884591762E-3
4.04690080685033671E-10	2.63890914600558801E-3
4.06289417462245162E-10	2.68204953715589500E-3
4.10234092476999734E-10	2.66691248183917118E-3
4.15379483818529938E-10	2.57473523614534994E-3
4.25379483818529813E-10	2.34522063325056918E-3
4.32609064721134029E-10	2.25584072888400922E-3
4.39778580420420706E-10	2.51169819956058848E-3
4.47777137907738609E-10	3.28877746454099507E-3
4.57653343800993007E-10	5.51791670688698765E-3
4.67653343800993149E-10	9.55845638281331667E-3
4.77653343800993024E-10	2.10075520453073583E-3
4.87653343800992900E-10	4.93458557392524888E-5
4.97653343800992776E-10	4.42245633532859550E-6
5.00000000000000000E-10	3.17247330222097190E-6
5.00703996859702194E-10	3.64186527459324694E-6
5.02582840804666109E-10	3.48803716610837533E-6
5.08090505241105994E-10	2.45813400220612799E-6
5.14588117081194873E-10	3.98645963405088199E-7
5.22158723989702533E-10	-5.76793645460018389E-7
5.32158723989702587E-10	-3.66741207890475351E-7
5.40517510823941638E-10	-1.27216673010607439E-7
5.50517510823941691E-10	-1.51072638037420104E-7
5.60517510823941745E-10	-1.69468083260444158E-7
5.70517510823941798E-10	-9.90198523159517663E-8
5.80517510823941407E-10	-4.01499714459779256E-8
5.90517510823941549E-10	3.12633547083072338E-8
6.00517510823941514E-10	1.13665617674119668E-7
6.10517510823941567E-10	1.39007757057000991E-7
6.20212399797323855E-10	-3.26212698414577895E-7
6.30212399797323997E-10	-4.19660711253917107E-8
6.40212399797324050E-10	9.00727344752670867E-8
6.49760223751454280E-10	1.43892467634472410E-7
6.59760223751454156E-10	-1.72916898275878683E-7
6.68562093913042776E-10	-2.11824010410863250E-8
6.78562093913042652E-10	-1.38368753696744173E-8
6.87909951881387016E-10	1.09649033261181317E-7
6.97909951881387158E-10	-8.70629953618626296E-8
7.07909951881387034E-10	4.42658598309614781E-9
7.17909951881387176E-10	-7.66377391033121036E-8
7.27909951881386963E-10	5.88692274301516072E-8
7.37909951881387105E-10	1.00156023112708836E-8
7.47909951881386981E-10	1.25064345839979385E-7
