time	Vo_sch_ideal
0.00000000000000000E0	-9.21091516623821427E-25
0.99999999999999978E-13	1.02645103006742189E-8
1.99999999999999956E-13	1.02245406732529309E-8
5.00000000000000355E-13	9.90709652344810188E-9
1.40000000000000013E-12	9.23836741676852569E-9
4.10000000000000053E-12	7.83851496775310608E-9
8.10114570696142167E-12	8.18439472092650533E-9
1.30845670463589103E-11	1.13893479544195286E-8
2.09440068460037576E-11	1.82586191271584242E-8
3.01589084860852630E-11	2.44499851146434377E-8
4.01589084860852541E-11	3.02551904953941708E-8
5.01589084860852630E-11	4.01882338447307497E-8
6.01589084860852452E-11	5.62655036613827964E-8
6.78237999288272331E-11	7.35206209047051118E-8
7.57108443862609448E-11	9.65487667428469543E-8
8.57108443862609271E-11	1.40314808222835863E-7
9.57108443862609626E-11	2.05632873055495757E-7
1.05710844386260949E-10	3.06736033261350638E-7
1.15710844386260958E-10	4.71272213449391231E-7
1.25710844386260945E-10	7.34485906557707846E-7
1.35710844386260931E-10	1.34081722020806371E-6
1.45710844386260940E-10	2.92369249353890837E-6
1.55710844386260949E-10	8.01516867965413304E-6
1.65710844386260936E-10	2.65897246802330756E-5
1.75710844386260945E-10	1.00056350401049343E-4
1.85710844386260931E-10	3.98554865095335753E-4
1.95710844386260918E-10	1.54596332260108826E-3
2.05710844386260927E-10	5.08963621222017437E-3
2.15710844386260847E-10	1.24763100102568525E-2
2.25710844386260856E-10	2.28389444188845925E-2
2.35710844386260954E-10	3.39457418162472324E-2
2.45710844386260874E-10	4.37972322240073009E-2
2.55710844386260927E-10	5.07757211901811356E-2
2.65710844386260892E-10	5.36146359432143882E-2
2.75710844386260989E-10	5.16679592949044331E-2
2.85710844386260998E-10	4.48835070679605241E-2
2.95710844386261007E-10	3.38779381416471237E-2
3.05710844386261060E-10	2.03191410800319794E-2
3.15710844386261069E-10	7.98803271403053294E-3
3.25710844386261078E-10	1.67386417507157548E-3
3.35710844386261043E-10	2.19400805385185249E-4
3.45710844386261051E-10	2.19991203443614136E-5
3.46335844386261016E-10	1.88958988813380024E-5
3.48210844386261043E-10	1.18545279084501143E-5
3.49855165158575288E-10	8.06321296702705403E-6
3.51723384302716324E-10	5.71414935454171324E-6
3.54355392093298693E-10	4.43072108205701554E-6
3.59967687581360218E-10	5.28263538733149574E-6
3.69967687581360227E-10	1.13759250783437071E-5
3.76578445499126158E-10	1.53680615068350335E-5
3.83219484466720894E-10	1.33665754575263174E-5
3.91371874102288642E-10	9.51277403622129292E-6
3.99750589097373377E-10	8.14744242696976251E-6
4.08900574245899318E-10	8.43368538417983515E-6
4.09395839632305591E-10	8.46646802550516497E-6
4.09932998954961114E-10	8.48607610616267927E-6
4.11544476922927949E-10	8.50967711355061951E-6
4.15186313114060379E-10	8.41637257229149682E-6
4.21138267620377782E-10	8.61573791082149398E-6
4.31138267620377746E-10	9.23782234688369641E-6
4.38569022769380013E-10	1.20390553201506600E-5
4.46004290860708252E-10	1.92953838029838964E-5
4.55451794652605724E-10	4.02137619578733130E-5
4.65451794652605688E-10	9.04768175818505149E-5
4.75451794652605741E-10	9.30740255979747211E-5
4.85451794652605528E-10	4.82029126351196080E-6
4.95451794652605493E-10	9.51825541739978753E-7
5.00000000000000000E-10	-1.16080083008252766E-6
5.00826935707469278E-10	1.72406480792172534E-7
5.02289530955707963E-10	2.15779735389325511E-7
5.06677316700423752E-10	1.94032507671610688E-7
5.13981130775684303E-10	-1.96223922690200947E-8
5.21311773629422426E-10	-5.41774400579255477E-7
5.31311773629422301E-10	-2.13773818165923624E-7
5.41273850678624235E-10	-1.75535849513572395E-7
5.51273850678624200E-10	1.65213859666589746E-8
5.61273850678623987E-10	-2.00440116882819996E-7
5.71273850678624040E-10	2.92890137334038236E-9
5.81273850678624004E-10	-1.16766834923561791E-7
5.91273850678624147E-10	1.10093446317686139E-7
6.01273850678623667E-10	3.46025350132040188E-8
6.11273850678623809E-10	1.70142056664706742E-7
6.21273850678624040E-10	-2.44638416502860467E-7
6.31273850678623738E-10	-5.88537272620492846E-8
6.41273850678623969E-10	4.52205040880559661E-8
6.51273850678623756E-10	1.60370298851610138E-7
6.61273850678623809E-10	-1.45694050957316179E-7
6.70700493709203283E-10	-1.89321836996073745E-8
6.80700493709203158E-10	-2.29396846694018119E-8
6.90508999211783170E-10	1.11471767677858380E-7
7.00508999211783134E-10	-8.45721533047868412E-8
7.10508999211783010E-10	5.78529260962473835E-9
7.20508999211783063E-10	-8.14581437410095788E-8
7.30508999211783028E-10	6.76767444913638716E-8
7.40508999211782903E-10	7.66361150453923834E-9
7.50508999211783046E-10	1.17203669328267712E-7
7.60508999211782921E-10	-1.47945038772598259E-7
7.70508999211782886E-10	-2.31956784228508495E-8
