time	Vo_sch_ideal
0.00000000000000000E0	-1.71285765143189139E-24
0.99999999999999978E-13	1.02645103005894600E-8
1.99999999999999956E-13	1.02245406733935162E-8
5.00000000000000355E-13	9.90709651991714146E-9
1.40000000000000013E-12	9.23836692044457841E-9
4.10000000000000053E-12	7.83843194173756252E-9
8.10162549743126448E-12	8.18326721090199705E-9
1.30877878859797114E-11	1.13838104655717198E-8
2.09753764907605822E-11	1.82424131337796069E-8
3.01639438838217355E-11	2.43481727407213810E-8
4.01639438838217266E-11	3.00601937895121951E-8
5.01639438838217266E-11	3.98989845980464164E-8
6.01639438838217355E-11	5.58022046944746286E-8
6.78323576520911775E-11	7.28340933767471110E-8
7.57342922445241307E-11	9.55128183198821290E-8
8.57342922445241484E-11	1.38632420357099795E-7
9.57342922445241129E-11	2.02791492034076359E-7
1.05734292244524175E-10	3.01865991894982777E-7
1.15734292244524140E-10	4.62107927054260603E-7
1.25734292244524148E-10	7.15168150803783043E-7
1.35734292244524135E-10	1.29161834128961561E-6
1.45734292244524144E-10	2.77019864812085803E-6
1.55734292244524153E-10	7.43833455557787371E-6
1.65734292244524140E-10	2.41012251858247817E-5
1.75734292244524148E-10	8.84293276274434348E-5
1.85734292244524091E-10	3.43179848235472873E-4
1.95734292244524033E-10	1.30330647565836655E-3
2.05734292244524131E-10	4.27893429314668428E-3
2.15734292244524095E-10	1.06720768192275584E-2
2.25734292244524060E-10	1.99050209353258345E-2
2.35734292244524068E-10	2.99010220866486831E-2
2.45734292244524122E-10	3.86875015078321027E-2
2.55734292244524131E-10	4.46473032550985227E-2
2.65734292244524184E-10	4.65178024909424259E-2
2.75734292244524148E-10	4.36895175429178728E-2
2.85734292244524113E-10	3.62528862806762575E-2
2.95734292244524299E-10	2.51315633970007379E-2
3.05734292244524219E-10	1.27224599690352536E-2
3.15734292244524140E-10	3.67023761504371748E-3
3.25734292244524237E-10	5.55080712358671047E-4
3.35734292244524335E-10	5.77525045126586356E-5
3.45734292244524344E-10	3.48825553756346629E-6
3.55734292244524219E-10	-9.80763209336166319E-7
3.65734292244524450E-10	-8.47186692036883215E-7
3.75734292244524370E-10	-2.43762301728841679E-7
3.85734292244524379E-10	-4.17686710835308794E-7
3.95734292244524433E-10	-9.28977130940336693E-8
3.95773354744524353E-10	-2.22487480136793048E-7
3.95890542244524379E-10	-2.22216066526016753E-7
3.96242104744524237E-10	-2.20362103551160526E-7
3.96445299056900291E-10	-2.19318444402102397E-7
3.96707403637724276E-10	-2.17054756162642937E-7
3.97246475805364430E-10	-2.11792579072015963E-7
3.98863692308285334E-10	-1.86551824747138828E-7
4.02931808325520535E-10	-9.78889808771834424E-8
4.08052281870577627E-10	1.91967927737591149E-8
4.16765537615848114E-10	7.66718436407336945E-8
4.23349599969872870E-10	5.36390479094783323E-8
4.29759171066327816E-10	5.14403874670190575E-9
4.37182515962600604E-10	1.98185507987146137E-8
4.46870484579295812E-10	7.94821912585712376E-8
4.55530468191285198E-10	1.04275028333549402E-7
4.56155468191285074E-10	1.10276592151109876E-7
4.58030468191285145E-10	1.22840210514178283E-7
4.63655468191285003E-10	1.00149444843111923E-7
4.66600473975280572E-10	1.25380857651038324E-7
4.72245929484077198E-10	1.21090782332253655E-7
4.78897322026906469E-10	1.62085637652086589E-7
4.86905268949735426E-10	2.10312350652508950E-7
4.93564842337422327E-10	2.68760722730111201E-7
5.00000000000000000E-10	3.64737886663169952E-7
5.00999999999999890E-10	3.80712800450609512E-7
5.03999999999999915E-10	4.74864048791470772E-7
5.12921352039343859E-10	7.52327319257147309E-7
5.22921352039343823E-10	5.93634412916882148E-7
5.32921352039343876E-10	-1.47269809351112047E-6
5.42921352039343752E-10	4.43650677469361554E-7
5.52921352039343716E-10	-5.97213699708469914E-7
5.61608625550327467E-10	7.17507014680951372E-7
5.71608625550327343E-10	-8.68718878427418950E-7
5.80002003685774259E-10	6.01884245887702996E-7
5.90002003685774135E-10	-7.09414375504647587E-7
5.99207008585170176E-10	7.10024855913234987E-7
6.09207008585169962E-10	-7.47941221651807542E-7
6.19207008585170016E-10	6.73896893258944374E-7
6.29207008585169980E-10	-7.02309167324921635E-7
6.39207008585169945E-10	7.32909634288888334E-7
6.49207008585169998E-10	-5.71414833712896453E-7
6.59207008585169874E-10	8.05855427363021271E-7
6.69207008585169838E-10	-8.30711085103990676E-7
6.79207008585169714E-10	5.81323234848283743E-7
6.89207008585169767E-10	-6.29105707038023620E-7
6.99207008585169820E-10	8.06765566662496170E-7
7.09207008585169696E-10	-7.53007677630825256E-7
7.19126464379816532E-10	6.09477048941541710E-7
7.29126464379816674E-10	-6.62676046835836363E-7
7.39126464379816284E-10	7.45634021731433627E-7
7.49126464379816337E-10	-7.12158031514126844E-7
7.59126464379816390E-10	6.44884210033100302E-7
7.69126464379816532E-10	-7.14187047677141074E-7
7.79126464379816230E-10	6.95248445746284460E-7
7.89126464379816284E-10	-6.20219499028699861E-7
7.99126464379816426E-10	7.51174241500589268E-7
8.09126464379816213E-10	-7.71228795763310249E-7
8.19126464379815999E-10	6.05674037120422604E-7
8.29126464379815964E-10	-6.33760883993506940E-7
8.39126464379816284E-10	7.87258346021808819E-7
8.49126464379816248E-10	-7.30799790117873105E-7
8.59126464379816035E-10	6.00630234032639976E-7
8.69126464379815822E-10	-6.57008924401184746E-7
8.79126464379815964E-10	7.50104812848764624E-7
8.89126464379815928E-10	-6.86066751080898118E-7
8.99126464379815715E-10	6.31544274187312027E-7
9.09126464379815502E-10	-7.02321386447950324E-7
9.19126464379815999E-10	6.86288150150632514E-7
9.29126464379815786E-10	-6.31065053871739057E-7
9.39126464379815928E-10	7.17478282518830923E-7
9.49126464379815893E-10	-7.35633841868292304E-7
9.59126464379815680E-10	6.13900476251565230E-7
9.69126464379815822E-10	-6.35486950673504047E-7
9.79126464379815786E-10	7.61540689676673033E-7
9.89126464379815751E-10	-7.09954852595394836E-7
