time	Vo_sch_ideal
0.00000000000000000E0	-1.62085909266688999E-24
0.99999999999999978E-13	1.43706831632689891E-8
1.99999999999999956E-13	1.43161942181369795E-8
5.00000000000000355E-13	1.38731246707244460E-8
1.40000000000000013E-12	1.29431595282406442E-8
4.10000000000000053E-12	1.09948993480557555E-8
7.67731307108634464E-12	1.13057196486832634E-8
1.21036021590101184E-11	1.49491265610820734E-8
1.88344074570338016E-11	2.33387609902937632E-8
2.77106625845946253E-11	3.26306610985366286E-8
3.77106625845946208E-11	4.11783091009713154E-8
4.77106625845946208E-11	5.46694681459059595E-8
5.77106625845946120E-11	7.89769799351628521E-8
6.53424967665325696E-11	1.08275354852818695E-7
7.26123751615696911E-11	1.44296401252739281E-7
8.26123751615696733E-11	2.14452072940974903E-7
9.26123751615696733E-11	3.30040227997550284E-7
1.02612375161569713E-10	5.25921802855157328E-7
1.12612375161569700E-10	9.25714644242690632E-7
1.22612375161569664E-10	1.89611250896469530E-6
1.32612375161569651E-10	5.13027363353089250E-6
1.42612375161569660E-10	1.81841170023644549E-5
1.52612375161569669E-10	8.15593210868610363E-5
1.62612375161569656E-10	4.34797630439644323E-4
1.72612375161569664E-10	2.40070366516711653E-3
1.82612375161569629E-10	1.01478333639810714E-2
1.92612375161569638E-10	2.65158970588860043E-2
2.02612375161569602E-10	4.87111478237980400E-2
2.12612375161569611E-10	7.33191364144309077E-2
2.22612375161569620E-10	9.73402940269284755E-2
2.32612375161569540E-10	1.18449643247696867E-1
2.42612375161569549E-10	1.35221043930748941E-1
2.52612375161569647E-10	1.46541716994165983E-1
2.62612375161569611E-10	1.51157603303616028E-1
2.72612375161569664E-10	1.48024822334088357E-1
2.82612375161569673E-10	1.36782382633441224E-1
2.92612375161569682E-10	1.18185615348682127E-1
3.02612375161569691E-10	9.44342890237156674E-2
3.12612375161569567E-10	6.74959121716468502E-2
3.22612375161569753E-10	3.83203319669335407E-2
3.32612375161569762E-10	1.22013890642207445E-2
3.42612375161569727E-10	1.15346698561687866E-3
3.52612375161569869E-10	4.67529994450256758E-5
3.62612375161569744E-10	-5.56832180336361127E-7
3.63237375161569709E-10	-6.17272043294699646E-7
3.65112375161569780E-10	-1.10931418827150541E-6
3.70737375161569727E-10	-1.17049434309927203E-6
3.73684182713057567E-10	-7.43116334980819815E-7
3.78609891146336164E-10	-8.65282637341747929E-8
3.83712568174895852E-10	2.74407293292832488E-7
3.93712568174895683E-10	5.00429214007588197E-7
3.99945617442922741E-10	7.10165987942620536E-8
4.06365258408717800E-10	-1.13282427543096786E-7
4.15122900223198066E-10	-7.47427149930873558E-8
4.22615035248769821E-10	1.32658361365185762E-7
4.31630520008615548E-10	2.62789406950961713E-7
4.38441912274114109E-10	2.80828270851904360E-7
4.46063938786363590E-10	4.00642870312139987E-7
4.53372860618678786E-10	6.16578601196638232E-7
4.61710839392216421E-10	1.76835993418313731E-6
4.68311697360773049E-10	3.18584701820244032E-6
4.78055320999261735E-10	1.20901154132527422E-5
4.87205322221859483E-10	4.16629899829599992E-5
4.97205322221859269E-10	6.16911310488180131E-5
5.00000000000000000E-10	3.64096806449948929E-5
5.00838403333442184E-10	2.79962521277828769E-5
5.02156702896928131E-10	1.80131157675027920E-5
5.06111601587385174E-10	3.70242347501532132E-6
5.13056922921154168E-10	-1.30763942904824648E-6
5.20170617217945974E-10	3.49667274575887621E-7
5.28562537692604639E-10	-3.39947414383085222E-7
5.38562537692604515E-10	2.96783724412116534E-7
5.46009825503888013E-10	-1.03767428492772451E-6
5.56009825503887978E-10	3.82863457140305208E-7
5.65208931328514996E-10	-6.16403687380824739E-7
5.75067904478101255E-10	5.34994158792188124E-7
5.85067904478101042E-10	-7.10145748736426619E-7
5.95067904478101095E-10	5.42936593988531779E-7
6.05067904478100971E-10	-5.95641252161493195E-7
6.15067904478101024E-10	6.58622867722327676E-7
6.24968638264381671E-10	-3.93230064346295372E-7
6.34968638264381369E-10	6.65960973831908465E-7
6.44227068699247951E-10	-9.14973459374404641E-7
6.54227068699248093E-10	6.38375264275861554E-7
6.64227068699247969E-10	-5.95242795456901153E-7
6.74052329537245232E-10	8.16796126698104707E-7
6.84052329537245640E-10	-8.31607103150809657E-7
6.93587743445146465E-10	6.49797799632607109E-7
7.03587743445146785E-10	-6.72937729952778874E-7
7.13322705559323644E-10	7.79835377239880412E-7
7.23322705559323431E-10	-7.72836563530478582E-7
7.33322705559323307E-10	6.69496850110862152E-7
7.43322705559323360E-10	-7.52124971792675900E-7
7.53322705559322969E-10	7.49313771466518830E-7
7.63322705559323378E-10	-6.23758654608088392E-7
7.73322705559323076E-10	7.67813363205856358E-7
7.83322705559323040E-10	-8.66531362650937886E-7
7.93322705559323271E-10	6.83086908098078371E-7
8.03322705559323325E-10	-6.51305454786268445E-7
8.13322705559323111E-10	8.37170030261902376E-7
8.23322705559323076E-10	-8.31032714736777045E-7
8.33322705559323040E-10	6.71153845900266788E-7
8.43322705559323182E-10	-6.94081124162467233E-7
8.53322705559322969E-10	8.19890979508003070E-7
8.63322705559322934E-10	-7.72440382333520414E-7
8.73322705559322721E-10	6.87121444589585018E-7
8.83322705559323040E-10	-7.67350202524395542E-7
8.93322705559322827E-10	7.66267291335710432E-7
9.03322705559322792E-10	-6.74296776901984707E-7
9.13322705559322756E-10	7.65945600217619926E-7
9.23322705559322721E-10	-8.38084482236173400E-7
9.33322705559322685E-10	7.00041483619328453E-7
9.43322705559322827E-10	-6.72869357212587893E-7
9.53322705559322792E-10	8.29611930673014797E-7
9.63322705559322578E-10	-8.22973355922377969E-7
9.73322705559322365E-10	6.74810386786861294E-7
9.83322705559322507E-10	-7.05935968328139563E-7
9.93322705559322472E-10	8.25045143244883405E-7
1.00332270555932235E-9	-7.65474681591199335E-7
1.01332270555932258E-9	6.88122803870126010E-7
1.02332270555932281E-9	-7.64334345207387678E-7
1.03332270555932260E-9	7.72054066672119976E-7
1.04332270555932216E-9	-6.94933631840901178E-7
1.05332270555932239E-9	7.55684666461803189E-7
1.06332270555932218E-9	-8.14543345727487633E-7
1.07332270555932219E-9	7.09489902384533089E-7
1.08332270555932220E-9	-6.86474939805262352E-7
1.09332270555932221E-9	8.16124306552580769E-7
1.10332270555932244E-9	-8.07068465385499856E-7
1.11332270555932222E-9	6.76899143807560666E-7
1.12332270555932223E-9	-7.12822618410045994E-7
1.13332270555932202E-9	8.19211999193018769E-7
1.14332270555932225E-9	-7.56726978406973583E-7
1.15332270555932181E-9	6.85778786006677521E-7
1.16332270555932205E-9	-7.58340818870391509E-7
1.17332270555932205E-9	7.72754974124494609E-7
1.18332270555932184E-9	-7.03198941505735942E-7
1.19332270555932207E-9	7.43411952104892748E-7
1.20332270555932186E-9	-7.95449396514083240E-7
1.21332270555932187E-9	7.15030844373160512E-7
1.22332270555932165E-9	-6.94421333240826577E-7
1.23332270555932144E-9	8.00162714863901492E-7
1.24332270555932167E-9	-7.90016372535216327E-7
1.25332270555932190E-9	6.79459407432879203E-7
1.26332270555932191E-9	-7.16483318006297409E-7
1.27332270555932148E-9	8.08815630386791540E-7
1.28332270555932126E-9	-7.47536761882114220E-7
1.29332270555932105E-9	6.83698231956973146E-7
1.30332270555932173E-9	-7.52578708589029155E-7
1.31332270555932151E-9	7.70509234349148464E-7
1.32332270555932130E-9	-7.05677766800931749E-7
1.33332270555932131E-9	7.32146626798981970E-7
1.34332270555932176E-9	-7.80440885758495995E-7
1.35332270555932155E-9	7.18525347097636313E-7
1.36332270555932111E-9	-6.98751257483983590E-7
1.37332270555932134E-9	7.84308924313625866E-7
1.38332270555932135E-9	-7.74973378640370658E-7
1.39332270555932136E-9	6.82823849234923053E-7
1.40332270555932115E-9	-7.18257629590146074E-7
1.41332270555932116E-9	7.96905794000014733E-7
1.42332270555932139E-9	-7.39177120438942925E-7
1.43332270555932095E-9	6.83104841349145708E-7
1.44332270555932118E-9	-7.47835549519156295E-7
1.45332270555932119E-9	7.66653215335485960E-7
1.46332270555932098E-9	-7.05695170643039837E-7
1.47332270555932099E-9	7.23201441338438400E-7
1.48332270555932055E-9	-7.69042587609333061E-7
1.49332270555932078E-9	7.20926349964249535E-7
1.50332270555932057E-9	-7.00993289857317947E-7
1.51332270555932080E-9	7.70108793755261267E-7
1.52332270555932059E-9	-7.62959469914204114E-7
1.53332270555932082E-9	6.86854975197632189E-7
1.54332270555932105E-9	-7.18962835122324329E-7
1.55332270555932084E-9	7.85134592073950000E-7
1.56332270555932018E-9	-7.32388134819547698E-7
1.57332270555932086E-9	6.84162899090459131E-7
1.58332270555932042E-9	-7.44121585723714229E-7
1.59332270555932021E-9	7.62056812172380127E-7
1.60332270555932044E-9	-7.04993503082892303E-7
1.61332270555932000E-9	7.16881082988385110E-7
1.62332270555932068E-9	-7.60613243783374138E-7
1.63332270555932024E-9	7.22655684020562017E-7
1.64332270555932047E-9	-7.02169586310935578E-7
1.65332270555932093E-9	7.58243145177456501E-7
1.66332270555932005E-9	-7.53955050440341523E-7
1.67332270555932028E-9	6.91238355213267841E-7
1.68332270555932029E-9	-7.19070777535496930E-7
1.69332270555931963E-9	7.74364194884573198E-7
1.70332270555931986E-9	-7.27392633115275711E-7
1.71332270555932009E-9	6.86558746689424559E-7
1.72332270555932010E-9	-7.41200459994423078E-7
1.73332270555932033E-9	7.57268119008267515E-7
1.74332270555931990E-9	-7.04425103937809105E-7
1.75332270555931968E-9	7.12949820703167259E-7
1.76332270555931991E-9	-7.54445330331670050E-7
1.77332270555932014E-9	7.23883289611405090E-7
1.78332270555932015E-9	-7.02906238496840086E-7
1.79332270555931950E-9	7.48822910781959905E-7
1.80332270555931951E-9	-7.47496396822740383E-7
1.81332270555931974E-9	6.95637439500904708E-7
1.82332270555931930E-9	-7.18856503232409594E-7
1.83332270555931975E-9	7.64976800284719438E-7
1.84332270555931999E-9	-7.24070778800521708E-7
1.85332270555931955E-9	6.89821313233701439E-7
1.86332270555931956E-9	-7.38808295018622996E-7
1.87332270555931979E-9	7.52619263526659132E-7
1.88332270555932002E-9	-7.04334944218115933E-7
1.89332270555931981E-9	7.10935202488409157E-7
1.90332270555932048E-9	-7.49880784940046574E-7
1.91332270555932049E-9	7.24685714209812204E-7
1.92332270555932094E-9	-7.03553288348017691E-7
1.93332270555932118E-9	7.41637532489001128E-7
1.94332270555932096E-9	-7.42987467851509642E-7
1.95332270555932141E-9	6.99776048521982119E-7
1.96332270555932098E-9	-7.18486579142266990E-7
1.97332270555932165E-9	7.57064442389971681E-7
1.98332270555932166E-9	-7.22126549396590267E-7
1.99332270555932212E-9	6.93492138794604784E-7
